Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
GLST,STRONG_BUY,16,0,10,10.49,0.1975295434660609,0.08586966892471537,10.5021489,10.4423111,america,NASDAQ,1h,  -1405.8 -1305.43 -1145.69 -976.19 642.67 1246.5 1380.21 1309.43
EMLD,STRONG_BUY,17,0,9,10.39,0.1937657747502044,0.08187641477628915,10.39358097,10.35363903,america,NASDAQ,1h,  -21015.83 -18756.36 -14892.36 -11957.79 -9670.21 -7303.86 -5318.64 -5677.54
LANC,STRONG_BUY,16,0,10,193.57,1.3273585595549235,0.08124071578070868,194.70969504,190.45667496,america,NASDAQ,1h,  2158.14 2153.67 2086.06 1701.92 1385.61 1008.64 840.85 40.31
FTXG,STRONG_BUY,16,1,9,26.81,1.1736928399358248,0.08100551360108454,26.98363367,26.32431633,america,NASDAQ,1h,  2128.73 1875.82 1505.74 1217.46 988.84 805.43 581.44 683.87
DUNE,STRONG_BUY,16,1,9,10.0,0.26727917728265993,0.07495614215046942,10.01323464,9.95178536,america,NASDAQ,1h,  792.58 860.42 809.96 715.68 612.05 514.02 427.18 352.82
PNAC,STRONG_BUY,16,0,10,10.57,0.11681870990534549,0.07100591715976634,10.57355295,10.54044705,america,NASDAQ,1h,  -392.47 -322.6 -264.69 -216.94 -177.68 -145.47 -119.07 411.65
CITEU,STRONG_BUY,14,0,10,10.66,2.401536983669544,0.06570918989956454,10.86896611,10.12403389,america,NASDAQ,1h,  -967.23 -746.63 -588.5 -855.64 -887.13 -819.37 -717.16 -610.15
EUFN,STRONG_BUY,16,1,9,20.04,0.2641690682036284,0.06566184896776406,20.07001823,19.94658177,america,NASDAQ,1h,  926.43 1526.5 2469.82 1768.92 2410.51 689.21 -328.43 308.07
JGGC,STRONG_BUY,15,0,11,10.61,0.05699127399394399,0.0654528032473678,10.61413606,10.59197394,america,NASDAQ,1h,  -818.07 -1169.36 -1206.77 -1112.36 -972.62 -989.3 25346.99 33816.66
SUSB,STRONG_BUY,16,0,10,23.96,0.014136680979689231,0.06055417510597749,23.99912193,23.90031807,america,NASDAQ,1h,  -812.42 -554.4 -592.53 -682.49 -657.25 3679.01 5118.48 5588.22
BSJO,STRONG_BUY,15,1,10,22.565,0.047958597488275245,0.059996088946761006,22.58848052,22.50924948,america,NASDAQ,1h,  -140.4 -473.56 -566.79 -553.41 -497.63 -379.61 -296.82 -235.97
OCS,STRONG_BUY,16,1,9,12.48,0.3487817299681666,0.054196022845715675,12.6041543,12.2242157,america,NASDAQ,1h,  498.78 414.85 395.3 351.37 301.45 253.63 226.6 194.94
FIVR,STRONG_BUY,16,0,10,21.435,0.9199638381381874,0.05050368322147847,21.58006288,21.01273712,america,NASDAQ,1h,  -0.41 -0.33 -95.41 -125.63 -126.57 -115.45 -100.41 -85.12
VRIG,STRONG_BUY,17,0,9,25.03,0.08419656009512266,0.04500626330504076,25.0303075,24.9975025,america,NASDAQ,1h,  -2487.67 -2206.64 -1891.07 -1426.19 -1106.36 -874.94 -700.73 -54.76
OXAC,STRONG_BUY,17,1,8,11.0599,0.6115588809187216,0.044052345402946,11.13545993,10.89357007,america,NASDAQ,1h,  295.07 287.92 437.0 468.76 439.14 -1128.08 -1666.67 -1735.48
BSMP,STRONG_BUY,15,1,10,24.44,0.09050737368897899,0.03475020577934629,24.44699222,24.40020778,america,NASDAQ,1h,  420.17 363.8 307.67 256.74 212.56 175.17 -206.06 -343.28
SYNH,STRONG_BUY,16,0,10,42.37,0.09134290597125982,0.029510712388585603,42.39080552,42.30969448,america,NASDAQ,1h,  -13566.42 1476.84 11399.46 16718.71 14425.66 9937.45 3782.59 2626.06
NETDU,STRONG_BUY,10,1,6,10.14,0.05542192175988703,0.02377290855125125,10.14680932,10.12427068,america,NASDAQ,1h,  -7877.28 -6465.0 -5299.52 -4340.96 -3554.19 -2026.9 -1217.84 -776.15
BSCN,STRONG_BUY,16,0,10,21.23,0.04098084771119659,0.022708876909405262,21.23087355,21.21777645,america,NASDAQ,1h,  -3913.36 -4560.45 -4410.58 -3948.31 -3498.9 143.49 1620.51 12143.11
XBIL,STRONG_BUY,16,0,10,50.0899,0.04047029566751803,0.015554456471591038,50.09350895,50.05779105,america,NASDAQ,1h,  1396.01 1279.75 1115.84 947.35 -6684.97 -9199.56 -9391.94 -8616.82
IBTE,STRONG_BUY,15,1,10,23.805,0.028083204760548597,0.006973811238268013,23.81054251,23.78885749,america,NASDAQ,1h,  7431.19 6408.49 5407.53 4506.45 4652.15 4288.83 3750.31 -1551.53
UFCS,STRONG_BUY,16,1,9,23.39,1.3153817596916184,-0.008549931600541072,23.71140548,22.64057452,america,NASDAQ,1h,  218.26 276.01 192.13 171.98 261.59 365.15 59.95 -70.35
ARLP,STRONG_BUY,15,1,10,18.91,1.0383457529274267,-0.0131659025331885,19.06412906,18.52006094,america,NASDAQ,1h,  4458.52 3353.69 4196.02 2559.33 1053.28 1829.41 2466.36 1821.7
MBINN,STRONG_BUY,15,1,10,18.1,1.094200451199299,-0.043185761731663774,18.30084208,17.71337792,america,NASDAQ,1h,  -30.54 16.87 43.32 59.75 61.04 246.93 640.02 510.38
FGM,STRONG_BUY,15,1,10,40.1004,2.4629095294293535,-0.1380123728017395,41.26197043,37.68096957,america,NASDAQ,1h,  -226.47 -199.81 -170.74 -143.32 -119.08 -98.33 -80.91 -66.42
