Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
CMS,SELL,3,15,8,56.51,-0.030074123870022618,-0.255935045450542,57.80477981,54.98922019,america,NYSE,1d, 
ADBE,SELL,4,14,8,513.88,-4.000298900939043,-5.283432710650729,577.25853046,511.60346954,america,NASDAQ,1d, 
GS,SELL,3,14,9,330.24,0.06979593425981534,-1.5769034753867714,345.86672125,314.58027875,america,NYSE,1d, 
EXPD,STRONG_SELL,0,16,10,113.0,-2.5315909777030186,-3.0384156648733125,119.21913238,113.10986762,america,NASDAQ,1d,  -7505.48 -9582.01 -10580.55 -10324.72 -7796.17 -6334.49 -6690.64 -14256.15
DFS,SELL,2,14,10,87.55,-4.178006723926785,-1.6645700422320004,91.85356341,87.41043659,america,NYSE,1d, 
ALL,BUY,12,7,7,113.85,5.13565592874798,3.113791979132685,114.18189514,103.52710486,america,NYSE,1d, 
STZ,SELL,4,14,8,256.47,-1.669701907409177,-1.4259358905373176,262.93483445,257.01516555,america,NYSE,1d, 
BA,STRONG_SELL,1,17,8,199.95,-9.227102485529457,-3.4249254978482497,232.53239826,197.29660174,america,NYSE,1d,  -61863.18 -7749.39 -9622.36 -16335.26 -7911.81 -17926.25 -34648.46 -48300.47
WELL,BUY,12,4,10,83.74,1.190260407226134,-0.18118533352405564,85.54824389,80.29975611,america,NYSE,1d, 
DLR,SELL,5,12,9,123.94,-2.214390913575258,-3.511844983690267,133.50025969,124.84074031,america,NYSE,1d, 
CB,BUY,14,3,9,212.49,3.9536874736671592,0.8021859686241299,216.51855865,196.02444135,america,NYSE,1d, 
RF,STRONG_SELL,0,16,10,17.42,-6.7085579801655655,-2.599944087223932,18.9630198,17.3969802,america,NYSE,1d,  -55046.41 -63276.94 -77606.82 -102134.42 -101799.13 -85208.95 -94570.09 -127486.83
EA,STRONG_SELL,1,16,9,118.8,-1.6320143080706515,-1.958357059741033,122.7459817,118.9760183,america,NASDAQ,1d,  -5890.39 -12708.92 -17586.98 -19968.77 -17054.53 -18850.42 -19240.28 -27811.12
TDG,SELL,3,15,8,842.83,-3.300973992327144,-2.738413958641047,910.83682935,843.33617065,america,NYSE,1d, 
BDX,SELL,4,13,9,265.04,-2.9721431756027954,-0.12473103692565246,284.50592749,257.34707251,america,NYSE,1d, 
AXON,SELL,1,15,10,196.13,-4.773696118701508,-5.700837071547738,220.66041689,195.47658311,america,NASDAQ,1d, 
ILMN,STRONG_SELL,0,17,9,133.33,-16.649822565610734,-9.02515744727306,173.05569865,135.08330135,america,NASDAQ,1d,  -24763.3 -24796.25 -21957.65 -21652.78 -20770.15 -21662.82 -23102.36 -29665.32
RSG,SELL,7,10,9,147.35,0.23195858756947985,-1.0130459901382665,151.32374154,142.86925846,america,NYSE,1d, 
TDY,BUY,12,4,10,414.54,1.2262373284161185,0.034025178632205666,423.79533573,405.04466427,america,NYSE,1d, 
HII,STRONG_SELL,1,17,8,202.5,-6.470400768559273,-3.4182775544076947,223.96580335,202.93419665,america,NYSE,1d,  -8132.46 -9178.72 -9731.68 -9514.74 -8285.75 -7208.66 -5710.52 -2945.3
CPB,NEUTRAL,9,7,10,42.9,1.1005585275611054,0.3861003861003809,43.53130469,40.90869531,america,NYSE,1d, 
NI,SELL,4,14,8,27.06,1.0153800209048853,-1.150684931506845,27.91360752,26.02539248,america,NYSE,1d, 
RJF,SELL,2,14,10,102.4,-2.7632703446966076,-3.9498738404104614,109.26201738,101.66598262,america,NYSE,1d, 
MTD,STRONG_SELL,0,17,9,1094.03,-7.055858406816441,-3.4092765164725023,1238.62113449,1089.02986551,america,NYSE,1d,  -1430.74 -1673.13 -1586.46 -1607.25 -1194.49 -1037.0 -1378.16 -1816.53
TSCO,SELL,2,16,8,204.59,-5.629742383357538,-3.8856342871639242,225.05024837,205.96575163,america,NASDAQ,1d, 
QCOM,STRONG_SELL,1,16,9,107.96,-3.342341148791789,-2.573728477060243,117.40072373,105.92177627,america,NASDAQ,1d,  -111540.08 -80123.7 -93365.16 -102191.27 -81563.86 -81104.52 -95313.18 -124990.78
ECL,SELL,1,15,10,172.1,-4.808085875444647,-3.6189110785049508,186.40532217,174.06667783,america,NYSE,1d, 
K,SELL,5,11,10,60.46,-0.7599757070400415,0.880998464926904,61.84998085,58.65101915,america,NYSE,1d, 
ROL,SELL,5,13,8,37.94,-2.3590975463362014,1.9782819051714853,40.80188398,35.27511602,america,NYSE,1d, 
PANW,SELL,3,13,10,227.44,-2.6951637091594023,-5.966792352980093,254.23025555,226.06074445,america,NASDAQ,1d, 
LHX,SELL,6,11,9,173.94,-1.6105980424994755,1.1743766032072926,181.15387825,166.37012175,america,NYSE,1d, 
RTX,STRONG_SELL,0,16,10,72.64,-11.803273377143114,-4.437398865983454,90.7100335,70.5599665,america,NYSE,1d,  -54100.72 -128408.12 -184868.29 -192467.86 -171252.2 -168552.02 -159434.6 -139173.13
UPS,STRONG_SELL,0,16,10,155.43,-6.4461828319858085,-2.0654283337953956,173.36521565,152.78178435,america,NYSE,1d,  -5238.28 6081.83 9682.81 5565.55 9676.23 2353.44 -11147.64 -19539.43
HIG,BUY,14,3,9,72.98,0.9637998663114615,0.32442538216210437,73.86877904,70.82322096,america,NYSE,1d, 
MSFT,SELL,4,14,8,319.53,-2.169919537870726,-3.3768071678908598,340.15344468,318.20455532,america,NASDAQ,1d, 
IQV,STRONG_SELL,2,17,7,199.18,-7.910817402964696,-5.589814810425992,229.32513335,202.81486665,america,NYSE,1d,  -12048.56 -15618.37 -17094.79 -19753.68 -21095.75 -20779.38 -17181.86 -15493.86
CMI,SELL,1,15,10,228.81,-2.1584354029850203,-2.4039650921747437,238.39986693,228.48013307,america,NYSE,1d, 
ADI,STRONG_SELL,1,16,9,173.84,-2.876170469528688,-1.9260496237038325,184.23669305,173.28730695,america,NASDAQ,1d,  -6550.07 -7261.36 -12006.1 -16747.98 -10765.91 -15663.69 -26156.0 -17489.58
YUM,STRONG_SELL,0,17,9,124.69,-3.586478856233782,-2.292815947843536,131.43347621,125.11852379,america,NYSE,1d,  4697.2 2371.06 -698.74 -3110.21 -1296.5 -2892.71 -5829.73 -5180.7
EBAY,SELL,6,10,10,43.92,0.29076404723082305,0.2236319656793455,45.04608279,42.88391721,america,NASDAQ,1d, 
SLB,SELL,6,10,10,58.82,-0.7179187053111349,-2.951706842218158,62.77323565,56.77776435,america,NYSE,1d, 
D,STRONG_SELL,1,17,8,47.39,-1.4699461504875586,-0.9737545971247101,49.83081737,46.00218263,america,NYSE,1d,  -17897.39 -9940.68 -4096.57 1547.39 -27.98 11097.45 -226.52 -26134.28
OXY,SELL,4,12,10,62.56,-2.4973115016856724,-4.380521505212002,68.0056436,60.8343564,america,NYSE,1d, 
TT,SELL,4,12,10,198.02,-2.449197423499328,-3.0625232528539783,210.05144163,198.12255837,america,NYSE,1d, 
FOXA,NEUTRAL,8,8,10,32.14,-1.1431793816431792,1.1901013790063644,33.36948346,30.57251654,america,NASDAQ,1d, 
WBA,SELL,2,14,10,21.45,-13.058163897445368,-2.255639097744364,26.19144946,20.05755054,america,NASDAQ,1d, 
PODD,SELL,3,14,9,159.93,-15.850748599909139,-6.3109611430379005,200.96003422,158.33696578,america,NASDAQ,1d, 
VRTX,BUY,15,2,9,354.28,1.5566884860090084,1.2568505141011599,356.40951813,342.11598187,america,NASDAQ,1d, 
FSLR,SELL,2,15,9,166.24,-8.8994390259207,-4.320650140721867,191.07481643,164.64818357,america,NASDAQ,1d, 
FTNT,STRONG_SELL,0,16,10,58.78,-2.7261393796806175,-5.071059431524546,65.00535732,57.50464268,america,NASDAQ,1d,  -12074.64 -32558.77 -12706.66 -15940.53 -7276.63 -6490.52 -7910.39 -31511.85
STLD,STRONG_SELL,1,16,9,99.54,-3.4020515207366913,-0.5137225898015032,108.26723251,96.43076749,america,NASDAQ,1d,  -8072.03 -11005.09 -7518.09 -3804.41 -4392.03 -751.15 -2700.8 -10541.56
MKTX,STRONG_SELL,0,17,9,215.02,-8.808427860870268,-3.8866414858190126,251.7454932,212.2985068,america,NASDAQ,1d,  -2648.99 -4564.76 -5792.48 -6449.66 -5989.97 -4599.47 -4211.86 -6398.45
MMM,STRONG_SELL,1,17,8,97.49,-5.067173895661625,-4.745620291752559,110.10346081,96.68153919,america,NYSE,1d,  -43529.9 -39679.48 -39272.29 -41197.09 -33954.01 -27519.54 -31278.68 -47849.35
HPQ,SELL,1,15,10,26.8,-10.653761108754182,-4.350619222670332,32.02274446,26.32125554,america,NYSE,1d, 
PNR,SELL,4,13,9,65.06,-4.2855251349800625,-2.8462204700892926,70.93137463,64.88562537,america,NYSE,1d, 
HSIC,STRONG_SELL,0,16,10,73.69,-2.5169990077292823,-0.5707500708377751,78.2280753,72.1719247,america,NASDAQ,1d,  -3128.74 -4502.13 -4273.11 -3495.11 -2747.59 -3058.62 -3710.58 -7327.62
FFIV,SELL,5,11,10,157.51,-1.1495214706103383,-1.6355563327067557,165.42841359,156.09758641,america,NASDAQ,1d, 
DLTR,STRONG_SELL,0,16,10,105.5,-16.139169236823008,-6.096182431530323,127.35483748,106.05816252,america,NASDAQ,1d,  13642.9 -6500.87 -24536.77 -36597.5 -35970.83 -43263.04 -58233.16 -70451.6
CTLT,SELL,1,15,10,46.55,-1.3513418123837937,-3.6132104772750893,51.44789427,44.92910573,america,NYSE,1d, 
BBY,SELL,3,15,8,70.45,-5.848234570871085,-2.159572251926946,76.81044783,69.67555217,america,NYSE,1d, 
MOS,SELL,2,16,8,37.11,-4.218251262913142,-1.861744327497746,40.03338181,36.43761819,america,NYSE,1d, 
BAC,STRONG_SELL,1,16,9,28.05,-3.328087136451799,-2.176187486921947,29.29457434,28.07042566,america,NYSE,1d,  -527565.65 -563373.15 -554012.51 -615163.75 -544541.44 -596348.31 -790316.28 -878941.21
GEN,SELL,2,14,10,18.98,-5.3885648771247645,-1.2538369491701786,20.96704783,18.56795217,america,NASDAQ,1d, 
SYK,SELL,2,14,10,284.45,-0.35393125139809456,-2.900524668284703,301.36754081,275.02345919,america,NYSE,1d, 
GE,SELL,5,11,10,112.99,-0.5964739416546507,-1.4341294903780835,117.03056488,110.86943512,america,NYSE,1d, 
IFF,SELL,4,14,8,68.53,1.8513472726118323,0.09786307932753857,71.66898262,65.61401738,america,NYSE,1d, 
DVA,BUY,14,3,9,102.36,1.0370877346291536,2.953009333762452,105.11599308,94.70800692,america,NYSE,1d, 
