Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
TOWERBTC,STRONG_SELL,0,14,12,3e-08,-25.000000000000014,-25.000000000000014,4e-08,3e-08,america,Kucoin,Interval.INTERVAL_1_DAY
LINAUPUSDT,STRONG_SELL,0,15,9,1.1493,-22.139245798854077,-22.17790808691589,1.81621857,1.19427143,america,Kucoin,Interval.INTERVAL_1_DAY
MSWAPUSDT,STRONG_SELL,0,17,9,8.55e-05,-33.7876558506931,-19.55212645841175,0.0001608,8.507e-05,america,Kucoin,Interval.INTERVAL_1_DAY
AMPLBTC,STRONG_SELL,0,16,10,3.877e-05,-13.052253868580394,-13.901843215634017,5.168e-05,3.951e-05,america,Kucoin,Interval.INTERVAL_1_DAY
CPOOLUSDT,STRONG_SELL,0,17,9,0.01719,-11.34605466735431,-13.565969428801282,0.02167071,0.01849829,america,Kucoin,Interval.INTERVAL_1_DAY
ARXUSDT,STRONG_SELL,0,16,10,0.001443,-13.34218127878836,-13.421731565368688,0.00205874,0.00135576,america,Kucoin,Interval.INTERVAL_1_DAY
XYOBTC,STRONG_SELL,0,14,12,1e-07,-9.090909090909108,-9.090909090909108,1.1e-07,1e-07,america,Kucoin,Interval.INTERVAL_1_DAY
EVERUSDT,STRONG_SELL,0,16,10,0.04021,-18.642221429529613,-8.309390249464116,0.05673392,0.03924408,america,Kucoin,Interval.INTERVAL_1_DAY
AOGUSDT,STRONG_SELL,0,17,9,0.006501,-9.593190215872156,-7.754522880454061,0.00764544,0.00671956,america,Kucoin,Interval.INTERVAL_1_DAY
LINABTC,STRONG_SELL,1,17,8,3.6e-07,-10.0,-7.692307692307693,4.3e-07,3.7e-07,america,BINANCE,Interval.INTERVAL_1_DAY
LINAUSDT,STRONG_SELL,1,17,8,0.009909,-7.1730353077838345,-6.995297673239918,0.01147224,0.01001836,america,BINANCE,Interval.INTERVAL_1_DAY
LINABUSD,STRONG_SELL,0,17,9,0.009942,-6.8746235690942115,-6.769568356792561,0.01146398,0.01003422,america,BINANCE,Interval.INTERVAL_1_DAY
RPLUSDT,STRONG_SELL,0,17,9,20.12,-8.453908453908454,-6.588049584474675,23.12069067,20.19530933,america,BINANCE,Interval.INTERVAL_1_DAY
SDAOUSDT,STRONG_SELL,0,16,10,0.3514,-9.398741013774455,-6.5127168245184635,0.41756507,0.35604493,america,Kucoin,Interval.INTERVAL_1_DAY
COSBTC,STRONG_SELL,0,14,12,1.6e-07,-5.882352941176464,-5.882352941176464,1.8e-07,1.6e-07,america,BINANCE,Interval.INTERVAL_1_DAY
SDAOETH,STRONG_SELL,0,16,10,0.0002155,-9.613287475882899,-5.1204156210099825,0.00026238,0.00021231,america,Kucoin,Interval.INTERVAL_1_DAY
QIBTC,STRONG_SELL,0,15,11,1.9e-07,-5.0,-5.0,2.1e-07,1.9e-07,america,BINANCE,Interval.INTERVAL_1_DAY
OPULUSDT,STRONG_SELL,0,16,10,0.04946,-12.319469137463614,-4.7453971188660375,0.05997309,0.04875391,america,Kucoin,Interval.INTERVAL_1_DAY
CVCBTC,STRONG_SELL,0,16,10,2.7e-06,-2.5270758122743757,-4.593639575971736,2.99e-06,2.67e-06,america,Kucoin,Interval.INTERVAL_1_DAY
PUSHBTC,STRONG_SELL,1,17,8,6.27e-06,-8.333333333333329,-4.420731707317074,7.38e-06,6.08e-06,america,Kucoin,Interval.INTERVAL_1_DAY
HIGHETH,STRONG_SELL,1,16,9,0.000735,-7.317503751434373,-4.27194581922376,0.00087789,0.00072041,america,Kucoin,Interval.INTERVAL_1_DAY
REVVBTC,STRONG_SELL,1,15,10,2.3e-07,-4.166666666666657,-4.166666666666657,2.5e-07,2.2e-07,america,Kucoin,Interval.INTERVAL_1_DAY
HIMFERSUSDT,STRONG_SELL,1,16,9,0.000591,-5.986033119641121,-3.7772712471507504,0.00063842,0.00059048,america,Kucoin,Interval.INTERVAL_1_DAY
LTOUSDT,STRONG_SELL,1,16,9,0.0551,-3.129395218002813,-3.6207801294385007,0.06095142,0.05424858,america,BINANCE,Interval.INTERVAL_1_DAY
ORBSBTC,STRONG_SELL,0,15,11,8.1e-07,-2.409638554216869,-3.5714285714285694,8.8e-07,8e-07,america,Kucoin,Interval.INTERVAL_1_DAY
DFUSDT,STRONG_SELL,1,16,9,0.03292,-0.019224735948398575,-3.5283085218614616,0.0352149,0.0318281,america,BINANCE,Interval.INTERVAL_1_DAY
