Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
NKNUSDT,STRONG_SELL,1,16,9,0.0848,-1.5556071511492888,-3.1078610603290713,0.09412478,0.08046522,america,BINANCE,Interval.INTERVAL_1_DAY
LOOMBTC,BUY,12,6,8,1.66e-06,6.410256410256409,1.2195121951219505,1.75e-06,1.39e-06,america,BINANCE,Interval.INTERVAL_1_DAY
GEMUSDT,SELL,5,13,8,0.000648,-1.628891958769131,-2.5417355993382387,0.00073924,0.00058596,america,Kucoin,Interval.INTERVAL_1_DAY
OASUSDT,SELL,1,15,10,0.04614,-5.204759978411175,-1.0868866165026674,0.0498558,0.0453112,america,Kucoin,Interval.INTERVAL_1_DAY
NEOBTC,STRONG_SELL,0,16,10,0.0002698,-2.125807153740112,-2.419617346016139,0.00028915,0.00026332,america,BINANCE,Interval.INTERVAL_1_DAY
KNCUSDT,NEUTRAL,10,7,9,0.585,9.33898267608862,7.7745025792188756,0.59026081,0.47573919,america,BINANCE,Interval.INTERVAL_1_DAY
LYMUSDT,SELL,3,14,9,0.000843,-12.624378109452735,0.8493838975954162,0.00109606,0.00070794,america,Kucoin,Interval.INTERVAL_1_DAY
NIMETH,NEUTRAL,6,10,10,4.5e-07,-2.173913043478265,2.2727272727272663,4.7e-07,4.1e-07,america,Kucoin,Interval.INTERVAL_1_DAY
SUTERBTC,SELL,0,3,23,1e-08,0.0,0.0,1e-08,1e-08,america,Kucoin,Interval.INTERVAL_1_DAY
NULSBTC,BUY,13,4,9,6.95e-06,1.3119533527696774,0.7246376811594217,7.35e-06,6.47e-06,america,BINANCE,Interval.INTERVAL_1_DAY
HAIUSDT,SELL,3,14,9,0.01901,-2.035557845916003,0.3007439455495131,0.01958495,0.01853405,america,Kucoin,Interval.INTERVAL_1_DAY
MITXUSDT,STRONG_SELL,0,16,10,0.005361,-11.467011924952558,-10.026181525241668,0.00673081,0.00542809,america,Kucoin,Interval.INTERVAL_1_DAY
PDEXUSDT,SELL,1,15,10,0.7016,-11.600168367911934,-4.241961019817651,0.89960061,0.66983939,america,Kucoin,Interval.INTERVAL_1_DAY
HTRBTC,STRONG_SELL,0,16,10,1.49e-06,-9.146341463414643,-3.8709677419354875,1.7e-06,1.47e-06,america,Kucoin,Interval.INTERVAL_1_DAY
