Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
STMXBUSD,STRONG_BUY,16,1,9,0.006265,45.697674418604635,28.848487341381656,0.00576799,0.00320431,america,BINANCE,Interval.INTERVAL_1_DAY
XDCETH,STRONG_BUY,16,1,9,2.468e-05,39.1206313416009,28.4747527329516,2.247e-05,1.367e-05,america,Kucoin,Interval.INTERVAL_1_DAY
XDCUSDT,STRONG_BUY,17,1,8,0.04671,38.691766382612315,26.856956628011204,0.04264127,0.02617073,america,Kucoin,Interval.INTERVAL_1_DAY
XDCBTC,STRONG_BUY,16,1,9,1.52e-06,36.936936936936945,24.59016393442623,1.41e-06,8.6e-07,america,Kucoin,Interval.INTERVAL_1_DAY
TARAUSDT,STRONG_BUY,16,0,10,0.0012707,33.958126884395625,24.07967971877747,0.0011761,0.00079752,america,Kucoin,Interval.INTERVAL_1_DAY
AKTUSDT,STRONG_BUY,16,1,9,0.6421,11.428621655369085,13.173293852227872,0.63664773,0.50902227,america,Kucoin,Interval.INTERVAL_1_DAY
TRXKCS,STRONG_BUY,17,0,9,0.01491,21.70564212990587,12.534247092299196,0.01414256,0.01134574,america,Kucoin,Interval.INTERVAL_1_DAY
TRXTRY,STRONG_BUY,16,0,10,2.4355,17.8458240140738,11.599369489910003,2.30496024,1.92755976,america,BINANCE,Interval.INTERVAL_1_DAY
TRXETH,STRONG_BUY,16,0,10,4.695e-05,14.512195121951237,10.783388390750375,4.474e-05,3.884e-05,america,BINANCE,Interval.INTERVAL_1_DAY
TRXBTC,STRONG_BUY,16,0,10,2.98e-06,16.40625,10.780669144981417,2.83e-06,2.41e-06,america,BINANCE,Interval.INTERVAL_1_DAY
NXRAETH,STRONG_BUY,14,1,9,4.243e-05,10.552371026576338,10.754372226572698,4.264e-05,3.306e-05,america,Kucoin,Interval.INTERVAL_1_DAY
TRXEUR,STRONG_BUY,16,0,10,0.08051,13.691677941456206,10.484424317277345,0.07627332,0.06777168,america,BINANCE,Interval.INTERVAL_1_DAY
TRXUSDT,STRONG_BUY,17,0,9,0.08942,14.89634594413458,10.005289898753801,0.08495128,0.07409672,america,BINANCE,Interval.INTERVAL_1_DAY
SWFTCUSDT,STRONG_BUY,17,1,8,0.001382,2.612840712498439,9.476619374668289,0.00144627,0.00115186,america,Kucoin,Interval.INTERVAL_1_DAY
TRXBNB,STRONG_BUY,16,0,10,0.0003622,12.50543579548986,9.442513974920686,0.00034941,0.00030504,america,BINANCE,Interval.INTERVAL_1_DAY
TRXUSDC,STRONG_BUY,17,0,9,0.08886,14.236979639051754,9.441584353523652,0.08469714,0.07421286,america,Kucoin,Interval.INTERVAL_1_DAY
SWFTCUSDC,STRONG_BUY,18,0,8,0.001382,2.6357026683797358,9.346689137332163,0.00144081,0.00115744,america,Kucoin,Interval.INTERVAL_1_DAY
TRXBUSD,STRONG_BUY,17,0,9,0.0885,13.739573390491856,8.98209491909465,0.08458188,0.07440312,america,BINANCE,Interval.INTERVAL_1_DAY
TOMOBTC,STRONG_BUY,15,2,9,4.123e-05,6.70289855072464,7.202288091523656,4.243e-05,3.135e-05,america,BINANCE,Interval.INTERVAL_1_DAY
FRAUSDT,STRONG_BUY,16,0,10,0.003041,6.123474540486413,7.156700377039343,0.00304362,0.00262698,america,Kucoin,Interval.INTERVAL_1_DAY
AUCTIONBUSD,STRONG_BUY,16,0,10,5.21,19.79765463324901,6.67485667485667,5.40142289,3.66057711,america,BINANCE,Interval.INTERVAL_1_DAY
AUCTIONUSDT,STRONG_BUY,16,0,10,5.2,19.494446480663015,6.404747288725204,5.40065837,3.67034163,america,BINANCE,Interval.INTERVAL_1_DAY
NEOKCS,STRONG_BUY,17,1,8,1.582,9.968024468232997,5.340258356638699,1.56161347,1.36948653,america,Kucoin,Interval.INTERVAL_1_DAY
SUNUSDT,STRONG_BUY,16,1,9,0.00619,8.65997152722555,5.14693392220147,0.00612312,0.00533588,america,BINANCE,Interval.INTERVAL_1_DAY
FILUPUSDT,STRONG_BUY,10,1,6,6.631,11.573703474318833,5.102487208911597,6.99806492,5.60937508,america,Kucoin,Interval.INTERVAL_1_DAY
USDJUSDT,STRONG_BUY,17,0,9,1.16935426,6.088497725299774,4.954456071193533,1.13810757,1.07216814,america,Kucoin,Interval.INTERVAL_1_DAY
NEOTRY,STRONG_BUY,17,1,8,258.9,6.538825562734047,4.7541978555532864,255.04220312,231.94779688,america,BINANCE,Interval.INTERVAL_1_DAY
LINABTC,STRONG_BUY,13,1,12,4.7e-07,4.444444444444457,4.444444444444457,4.7e-07,4.2e-07,america,BINANCE,Interval.INTERVAL_1_DAY
SUNBUSD,STRONG_BUY,17,0,9,0.00615,7.907420696818761,4.431991849210391,0.00611669,0.00534531,america,BINANCE,Interval.INTERVAL_1_DAY
EOSKCS,STRONG_BUY,17,0,9,0.1319,12.736651882125145,4.416526151629569,0.13316102,0.10796698,america,Kucoin,Interval.INTERVAL_1_DAY
WAVESETH,STRONG_BUY,16,3,7,0.00108,3.0072391198603867,4.367993815229994,0.00114399,0.00095041,america,BINANCE,Interval.INTERVAL_1_DAY
WAVESTRY,STRONG_BUY,16,1,9,55.6,5.15697895001621,4.295629337835294,57.03892933,49.10107067,america,BINANCE,Interval.INTERVAL_1_DAY
